name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund,fundCGE
TRUXT LONG BIAS FICFIA ACCESS,38971881000160,,5091473,2020-10-23T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Ações,Ações Livre,-,true,10000,10000,10000,13:40,13:40,D+1,D+30,D+32,D+0,0.56,,,-0.2235016,0.5132406,24.7170324,LONG_BIASED,,false,false,2863695
BTG REF IBOV INDEXADO FIA,32743215000199,,3673598,2019-03-15T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Indexados,IBOVESPA,true,500,500,500,15:10,15:10,D+0,D+0,D+2,D+0,0.1,,,-0.5551281,-2.2933322,5.0284779,LONG_ONLY,,false,false,1166326
ITAU JANEIRO RF DISTRIBUIDOS FICFI,52342951000142,,8991625,2023-09-29T00:00:00.000-0300,BRL,false,ITAU UNIBANCO ASSET MANAGEMENT LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,false,100,1,1,14:10,14:10,D+0,D+0,D+1,D+0,0.9,,20,0.0794958,1.0229483,4.995807,ATIVO,,false,false,9289985
Ryo Compounders FIF Ações Subclasse I,60922345000124,,14471830,2025-05-30T00:00:00.000-0300,BRL,false,RYO GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,,Investidores qualificados,Ações,Ações Livre,CDI,true,5000,1000,0,14:40,14:40,D+1,D+30,D+32,D+0,2,,20,-0.3047867,-0.4384013,6.7061631,LONG_BIASED,EQSAY1748440796,false,false,22408700
BTG CRED CORP PLUS FIM CrPr,33599991000120,,3851712,2019-06-28T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,5000,1000,1000,15:10,15:10,D+0,D+30,D+31,D+0,1,,20,0.0960985,0.6597497,6.8200318,CREDITO_POS,,false,false,1173367
MARKET MAKERS FIA,47548659000140,BR0DOMCTF005,7015476,2022-09-30T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,1000,100,100,16:10,16:10,D+1,D+30,D+32,D+0,2,,20,-0.3328202,-2.5104709,4.955096,LONG_ONLY,,false,false,5916962
ATENA TAPYR FICFIRF CrPr,17627210000107,,2740890,2013-07-05T00:00:00.000-0300,BRL,false,ATENA CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,1000,1000,1000,15:20,15:20,D+0,D+0,D+1,D+0,0.5,,15,0.056071300000000004,0.6311412,6.4469757,CREDITO_POS,,false,false,980880
LEBLON ACOES FICFIA,10320151000180,BRYPA1CTF005,1662203,2008-09-30T00:00:00.000-0300,BRL,false,LEBLON EQUITIES GESTAO DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores qualificados,Ações,Ações Livre,IBOVESPA,true,1000,1000,100,14:10,14:10,D+1,D+27,D+30,D+0,2,,15,-0.19117710000000002,-2.0376662,5.9890332,LONG_ONLY,,false,false,534197
COMPASS YIELD 30 FIRF CrPr,36318479000156,,7504150,2020-05-20T00:00:00.000-0300,BRL,false,VINCI CG GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+29,D+30,D+0,0.6,,10,0.0524453,0.760373,6.9371031,CREDITO_POS,,false,false,993034
WESTERN ASSET GL EQUITIES FIA,29982932000169,BR01SPCTF008,2135917,2019-08-08T00:00:00.000-0300,BRL,false,FRANKLIN TEMPLETON BRASIL LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores qualificados,Ações,Ações Investimento no Exterior,CDI,true,1000,100,500,13:10,13:10,D+1,D+1,D+5,D+0,0.7000000000000001,,,0.1239027,0.6500999000000001,0.5119774,LONG_ONLY,,false,false,820873
