grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
DI SPREAD;AALR13;2026-06-16;2027-10-04;DI + 2,7500%;--;CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**);;;;;;;;;
IPCA SPREAD;AEAB11;2026-06-16;2044-06-15;IPCA + 7,0718%;--;AES CAJUINA AB1 HOLDINGS S.A. (*);8.3710;8.1094;8.2817;0.06;8.22;8.34;1110.296027;91.66;1915.0
IPCA SPREAD;AESLA7;2026-06-16;2034-04-15;IPCA + 6,1409%;10%;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*);8.0809;7.8133;7.8949;0.09;7.80;7.98;1020.945585;91.27;1394.0
IPCA SPREAD;AESLD2;2026-06-16;2036-03-15;IPCA + 6,4580%;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*);8.0740;7.8402;7.8860;0.09;7.79;7.97;950.768790;91.52;1659.0
DI SPREAD;AGAU13;2026-06-16;2027-03-15;DI + 4,5000%;--;AGASUS S.A. (*);5.0509;4.4935;4.7174;0.12;4.58;4.84;521.851425;99.85;175.0
IPCA SPREAD;AGIZ11;2026-06-16;2047-03-15;IPCA + 7,7322%;10%;AGUAS DA IMPERATRIZ S.A.;8.6775;8.3415;8.4980;0.01;8.48;8.51;1000.226513;94.35;2041.0
IPCA SPREAD;ALGAC2;2026-06-16;2032-01-15;IPCA + 5,8806%;15%;ALGAR TELECOM S/A (*);9.5525;9.0961;9.2863;0.04;9.24;9.32;1123.818367;88.31;981.0
IPCA SPREAD;ALGE16;2026-06-16;2037-11-15;IPCA + 6,1451%;5%;ALIANCA GERACAO DE ENERGIA S.A (*);8.0563;7.8387;7.9038;0.12;7.77;8.03;953.827194;91.30;1373.0
IPCA SPREAD;ALIG15;2026-06-16;2036-04-15;IPCA + 6,1305%;--;ALIANCA GERACAO DE ENERGIA S.A (*);7.9292;7.7489;7.8422;0.07;7.77;7.91;955.220513;92.58;1198.0
IPCA SPREAD;APFD19;2026-06-16;2031-09-15;IPCA + 6,3854%;15%;AUTOPISTA FERNAO DIAS S/A (*);8.4559;8.2337;8.3076;0.10;8.20;8.40;1101.116516;95.18;689.0
IPCA SPREAD;APPT11;2026-06-16;2043-12-15;IPCA + 8,8958%;5%;APIUNA PARTICIPACOES S/A (*);9.7071;9.3253;9.4513;0.11;9.33;9.56;1042.532827;96.85;1566.0
IPCA SPREAD;APRB18;2026-06-16;2031-06-15;IPCA + 4,5000%;45%;AUTOPISTA REGIS BITTENCOURT S/A;9.7848;;9.4644;0.25;9.21;9.71;1206.164064;86.19;795.0
DI SPREAD;ARTRA1;2026-06-16;2027-03-11;DI + 1,6500%;--;ARTERIS S/A (*) (**);1.8000;1.3551;1.5873;0.02;1.56;1.61;346.831919;100.04;175.0
DI SPREAD;ASAIA3;2026-06-16;2029-06-05;DI + 1,2000%;--;SENDAS DISTRIBUIDORA S/A (*);2.1267;1.7488;1.9083;0.06;1.84;1.97;986.939463;98.29;621.0
IPCA SPREAD;AURE12;2026-06-16;2034-04-15;IPCA + 6,2980%;--;AUREN ENERGIA S.A. (*);8.4255;8.0955;8.2231;0.09;8.13;8.31;1014.795940;90.53;1385.0
IPCA SPREAD;BCPSA5;2026-06-16;2029-03-15;IPCA + 5,7687%;--;CLARO S/A;8.0064;7.6213;7.8035;0.10;7.69;7.90;1075.881690;95.29;635.0
DI SPREAD;BRKPA2;2026-06-16;2029-02-21;DI + 3,2500%;5%;BRK AMBIENTAL PARTICIPACOES S/A (*);2.8248;2.5117;2.6862;0.07;2.60;2.76;1065.159173;101.17;538.0
IPCA SPREAD;BRST11;2026-06-16;2028-03-15;IPCA + 5,7694%;--;BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*);9.2531;8.7075;8.8665;0.22;8.64;9.09;757.937753;97.27;240.0
DI SPREAD;BRST14;2026-06-16;2031-05-15;DI + 1,4000%;--;BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*);1.9000;1.3236;1.6000;0.00;1.60;1.60;1006.488656;99.41;754.0
IPCA SPREAD;BTEL23;2026-06-16;2032-04-15;IPCA + 8,2700%;--;V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A. (*);10.8435;9.8084;10.3682;0.21;10.15;10.58;979.336942;92.03;1082.0
DI SPREAD;CAEC22;2026-06-16;2029-06-15;DI + 2,2000%;35%;COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*);1.3254;1.0828;1.2440;0.07;1.17;1.31;1019.090632;101.84;491.0
