Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;IPCA SPREAD;ACRC21;2026-05-19;2044-07-15;IPCA + 7,4150%;8.8961;8.7295;8.7898;0.04;8.74;8.83;1140.858508;91.73;1668.0;10%;ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*)
consultoria;DI SPREAD;AEGE16;2026-05-19;2034-03-11;DI + 3,9000%;6.0843;5.0;5.5442;0.16;5.37;5.7;977.337011;94.66;870.0;45%;EQUIPAV SANEAMENTO S.A. (*) (**)
consultoria;DI SPREAD;AEGE17;2026-05-19;2035-06-15;DI + 3,4000%;6.4503;5.0024;5.7687;0.35;5.41;6.12;982.601243;91.55;961.0;15%;EQUIPAV SANEAMENTO S.A. (*) (**)
consultoria;DI SPREAD;AEGPA9;2026-05-19;2029-06-25;DI + 2,7500%;4.0209;3.476;3.6915;0.18;3.5;3.87;1045.027404;98.14;517.0;10%;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*)
consultoria;DI SPREAD;AERI11;2026-05-19;2030-03-30;DI + 3,0000%;;;;;;;117.060079;13.28;;10%;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A
consultoria;IPCA SPREAD;AESLA5;2026-05-19;2033-10-15;IPCA + 6,1774%;7.9597;7.6746;7.8304;0.12;7.7;7.95;1048.335433;92.12;1330.0;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
consultoria;IPCA SPREAD;AESLA7;2026-05-19;2034-04-15;IPCA + 6,1409%;8.0458;7.7652;7.898;0.09;7.8;7.99;1009.444109;91.14;1413.0;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
consultoria;IPCA SPREAD;ALGTA4;2026-05-19;2033-11-15;IPCA + 6,3243%;9.0278;8.7126;8.8554;0.06;8.78;8.92;1003.723359;88.9;1249.0;10%;ALGAR TELECOM S/A (*)
consultoria;DI SPREAD;AMBP16;2026-05-19;2029-04-25;DI + 2,7500%;;;;;;;142.798606;11.98;;--;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**)
consultoria;DI SPREAD;ANHBA5;2026-05-19;2030-11-05;DI + 0,4400%;0.7;0.5382;0.598;0.02;0.57;0.61;1000.60241;99.51;786.0;45%;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*)
consultoria;DI SPREAD;ANIM17;2026-05-19;2029-05-15;DI + 1,6000%;1.6933;1.2819;1.4929;0.03;1.45;1.52;1003.44762;100.22;537.0;--;ANIMA HOLDING S/A (*)
consultoria;DI SPREAD;ARML13;2026-05-19;2029-11-04;DI + 2,2500%;2.4511;2.0995;2.2865;0.04;2.23;2.33;1005.992919;99.91;613.0;35%;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**)
consultoria;DI SPREAD;ARML14;2026-05-19;2032-03-15;DI + 1,9000%;2.7299;2.3883;2.5555;0.12;2.42;2.68;1004.584364;97.83;857.0;15%;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*)
consultoria;DI SPREAD;ARML15;2026-05-19;2032-09-25;DI + 1,3500%;2.8026;1.8895;2.3276;0.11;2.21;2.43;985.74597;96.49;932.0;--;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*)
consultoria;DI SPREAD;ASAI28;2026-05-19;2028-12-22;DI + 1,9500%;2.0121;1.6191;1.8026;0.07;1.72;1.88;1066.867663;100.3;526.0;--;SENDAS DISTRIBUIDORA S/A (*)
consultoria;DI SPREAD;ASAIA0;2026-05-19;2029-06-20;DI + 1,2500%;2.0513;1.7;1.865;0.05;1.81;1.91;1047.458115;98.74;524.0;45%;SENDAS DISTRIBUIDORA S/A (*)
