Prefixo;name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund
consultoria;RB Capital Incentivados FICFIIIRF,23565840000105,BRRBD4CTF001,1698153,2016-03-29T00:00:00.000-0300,BRL,false,RB CAPITAL ASSET MANAGEMENT LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+30,D+31,D+0,1,,,-0.0022276,0.43410299999999996,1.8492494000000002,CREDITO_POS,,false,false
consultoria;Icatu Vanguarda Dinamico CDI FIF FIM RL,58327943000103,,12588753,2024-12-30T00:00:00.000-0300,BRL,false,ICATU VANGUARDA GESTAO DE RECURSOS LTDA,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,500,500,500,13:40,13:40,D+0,D+9,D+10,D+0,0.7000000000000001,,20,0.027693100000000002,0.6547765,5.2456815,ATIVO,,false,false
consultoria;JGP REAL ESTATE MULTI FICFIM,44835685000161,,8645711,2022-04-29T00:00:00.000-0300,BRL,false,JGP REAL ESTATE GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE T,BNY MELLON BANCO S.A,Investidores qualificados,Multimercados,Multimercados Estrategica Especifica,-,true,20000,1000,5000,14:10,14:10,D+1,D+90,D+92,D+0,0.6,,20,-0.9153622,-4.3049042,3.6347243000000002,IMOBILIARIO,,false,false
consultoria;Meraki Long Biased FICFIM,38049303000171,,4215095,2020-08-24T00:00:00.000-0300,BRL,false,MERAKI CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Investimento no Exterior,IPCA,true,1000,1000,1000,15:20,15:20,D+1,D+30,D+32,D+0,1.85,,20,-1.2082078,-5.8765622,-0.8505899,LONG_BIASED,,false,false
consultoria;HASHDEX BITCOIN FICFIM,36986672000165,,3569942,2020-10-01T00:00:00.000-0300,BRL,false,HASHDEX GESTORA DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Estrategica Especifica,-,true,500,100,100,15:20,15:20,D+1,D+1,D+6,D+0,0.75,,,0.5383689,1.9094767,-20.765097,CRIPTOATIVO,,false,false
consultoria;ACADIAN CHINA A SHARES RMB FICFIA IE,36318507000135,,3946877,2021-01-04T00:00:00.000-0300,RMB,false,GAMA INVESTIMENTOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Ações,Ações Investimento no Exterior,CDI,true,500,500,500,14:10,14:10,D+1,D+1,D+4,D+0,0.55,,,0.30366550000000003,2.1941905,0.4884805,LONG_ONLY,,false,false
consultoria;BTG BALANCEADO FICFIM ACCESS,05892566000199,BRUBSPCTF004,4187873,2021-08-18T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,0,1,0,13:20,13:20,D+0,D+31,D+32,D+0,0.35000000000000003,,10,0.0344208,-0.253921,3.3726698,,,false,false
consultoria;Tivio Institucional FIRF CrPr,06866051000187,BRVIRFCTF000,4975582,2005-05-13T00:00:00.000-0300,BRL,false,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+0,D+0,D+0,0.2,,,0.062403600000000004,0.8155207,5.1887531,CREDITO_POS,,false,false
consultoria;NOVUS INSTITUCIONAL FICFIM,06301947000119,BRMMIFCTF000,1662812,2004-11-09T00:00:00.000-0300,BRL,false,NOVUS CAPITAL GESTORA DE RECURSOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores em geral (Não qualificados),Multimercados,Multimercados Macro,CDI,true,100,100,100,13:40,13:40,D+0,D+0,D+1,D+0,1,,20,0.0492522,0.4819751,3.2843685000000002,,,false,false
consultoria;BTG REF OURO FICFIM,36498594000150,,3725948,2020-04-29T00:00:00.000-0300,BRL,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Estrategica Especifica,CDI,true,500,500,500,12:40,12:40,D+0,D+7,D+8,D+0,0.2,,,-1.2962413,-2.4779475,5.4427032,TEMATICOS,,false,false
consultoria;Bradesco Centurion Dividendos FICFIA,32158430000122,BR00VXCTF008,1934222,2019-01-02T00:00:00.000-0300,BRL,false,BANCO BRADESCO S.A.,BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Ações,Ações Dividendos,IBOVESPA,true,100,100,100,14:40,14:40,D+1,D+1,D+3,D+0,1.5,,20,-1.3337077,-6.5197938,8.9195643,LONG_ONLY,,false,false
